words,rates
hi,50
there,40
good,96
happy,80
cease,17
glad,95
accurate,25
ambigue,87
famous,87
analyze,4
predict,76
give,50
infer,92
above,52
compare,43
great,33
quality,57
huge,53
rise,6
create,65
write,25
atrocity,33
rural,21
pensive,60
respite,98
maintain,69
nap,67
work,90
logic,80
random,15
large,50
manipulate,60
superior,70
express,89
mute,25
communicate,60
order,60
publish,70
change,54
site,74
move,63
control,91
check,16
long,66
time,51
respond,61
view,49
clock,74
find,54
data,2
grow,8
hey,99
help,87
chat,34
window,27
selsct,53
filter,5
sort,56
solar,32
top,74
clear,35
cell,40
sum,17
reply,47
canary,52
office,20
clinch,9
test,83
table,85
book,6
heat,37
finish,64
berate,57
receive,38
make,48
delete,85
format,9
title,93
sheet,69
contrast,57
content,74
explain,84
index,10
describe,59
trace,66
analyze,29
indeed,65
general,0
insert,76
earwig,98
fix,18
update,3
triple,15
special,41
property,28
day,40
have,84
loose,76
address,89
